2022-05-21 21:59:23.422628 +07 | [ant/default-2022-05-21-21-59-15-960437-+07-01] observation space: Box(111,)
2022-05-23 01:44:28.401290 +07 | [ant/default-2022-05-23-01-44-21-314234-+07-01] observation space: Box(111,)
2022-05-23 01:44:28.401439 +07 | [ant/default-2022-05-23-01-44-21-314234-+07-01] action space: Box(8,)
2022-05-23 01:44:28.406565 +07 | [ant/default-2022-05-23-01-44-21-314234-+07-01] observation space: Box(111,)
2022-05-23 01:44:28.406671 +07 | [ant/default-2022-05-23-01-44-21-314234-+07-01] action space: Box(8,)
2022-05-23 01:44:28.411434 +07 | [ant/default-2022-05-23-01-44-21-314234-+07-01] observation space: Box(111,)
2022-05-23 01:44:28.411548 +07 | [ant/default-2022-05-23-01-44-21-314234-+07-01] action space: Box(8,)
2022-05-23 01:44:28.416317 +07 | [ant/default-2022-05-23-01-44-21-314234-+07-01] observation space: Box(111,)
2022-05-23 01:44:28.416400 +07 | [ant/default-2022-05-23-01-44-21-314234-+07-01] action space: Box(8,)
2022-05-23 01:49:35.499414 +07 | [ant/default-2022-05-23-01-49-28-283468-+07-01] observation space: Box(111,)
2022-05-23 01:49:35.499560 +07 | [ant/default-2022-05-23-01-49-28-283468-+07-01] action space: Box(8,)
2022-05-23 01:49:35.504701 +07 | [ant/default-2022-05-23-01-49-28-283468-+07-01] observation space: Box(111,)
2022-05-23 01:49:35.504812 +07 | [ant/default-2022-05-23-01-49-28-283468-+07-01] action space: Box(8,)
2022-05-23 01:49:35.509054 +07 | [ant/default-2022-05-23-01-49-28-283468-+07-01] observation space: Box(111,)
2022-05-23 01:49:35.509136 +07 | [ant/default-2022-05-23-01-49-28-283468-+07-01] action space: Box(8,)
2022-05-23 01:49:35.513709 +07 | [ant/default-2022-05-23-01-49-28-283468-+07-01] observation space: Box(111,)
2022-05-23 01:49:35.513805 +07 | [ant/default-2022-05-23-01-49-28-283468-+07-01] action space: Box(8,)
2022-05-23 01:54:37.422543 +07 | [ant/default-2022-05-23-01-54-30-468368-+07-01] observation space: Box(111,)
2022-05-23 01:54:37.422683 +07 | [ant/default-2022-05-23-01-54-30-468368-+07-01] action space: Box(8,)
2022-05-23 01:54:37.427913 +07 | [ant/default-2022-05-23-01-54-30-468368-+07-01] observation space: Box(111,)
2022-05-23 01:54:37.428014 +07 | [ant/default-2022-05-23-01-54-30-468368-+07-01] action space: Box(8,)
2022-05-23 01:54:37.432604 +07 | [ant/default-2022-05-23-01-54-30-468368-+07-01] observation space: Box(111,)
2022-05-23 01:54:37.432688 +07 | [ant/default-2022-05-23-01-54-30-468368-+07-01] action space: Box(8,)
2022-05-23 01:54:37.437684 +07 | [ant/default-2022-05-23-01-54-30-468368-+07-01] observation space: Box(111,)
2022-05-23 01:54:37.437789 +07 | [ant/default-2022-05-23-01-54-30-468368-+07-01] action space: Box(8,)
2022-05-23 01:57:41.360995 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] observation space: Box(111,)
2022-05-23 01:57:41.361151 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] action space: Box(8,)
2022-05-23 01:57:41.366795 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] observation space: Box(111,)
2022-05-23 01:57:41.366895 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] action space: Box(8,)
2022-05-23 01:57:41.371430 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] observation space: Box(111,)
2022-05-23 01:57:41.371534 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] action space: Box(8,)
2022-05-23 01:57:41.376833 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] observation space: Box(111,)
2022-05-23 01:57:41.376944 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] action space: Box(8,)
2022-05-23 01:57:47.123698 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] observation space: Box(111,)
2022-05-23 01:57:47.123831 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] action space: Box(8,)
2022-05-23 01:57:47.129391 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] observation space: Box(111,)
2022-05-23 01:57:47.129507 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] action space: Box(8,)
2022-05-23 01:57:47.134653 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] observation space: Box(111,)
2022-05-23 01:57:47.134750 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] action space: Box(8,)
2022-05-23 01:57:47.139615 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] observation space: Box(111,)
2022-05-23 01:57:47.139715 +07 | [ant/default-2022-05-23-01-56-48-700448-+07-01] action space: Box(8,)
2022-05-23 02:06:06.628564 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] observation space: Box(111,)
2022-05-23 02:06:06.628728 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] action space: Box(8,)
2022-05-23 02:06:06.634045 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] observation space: Box(111,)
2022-05-23 02:06:06.634146 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] action space: Box(8,)
2022-05-23 02:06:06.638369 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] observation space: Box(111,)
2022-05-23 02:06:06.638451 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] action space: Box(8,)
2022-05-23 02:06:06.643007 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] observation space: Box(111,)
2022-05-23 02:06:06.643093 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] action space: Box(8,)
2022-05-23 02:06:12.337637 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] observation space: Box(111,)
2022-05-23 02:06:12.337770 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] action space: Box(8,)
2022-05-23 02:06:12.342842 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] observation space: Box(111,)
2022-05-23 02:06:12.342941 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] action space: Box(8,)
2022-05-23 02:06:12.347305 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] observation space: Box(111,)
2022-05-23 02:06:12.347388 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] action space: Box(8,)
2022-05-23 02:06:12.351766 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] observation space: Box(111,)
2022-05-23 02:06:12.351851 +07 | [ant/default-2022-05-23-02-05-14-450794-+07-01] action space: Box(8,)
2022-05-23 02:06:35.400502 +07 | --------------------  ----------
2022-05-23 02:06:35.400654 +07 | beta_t                   1
2022-05-23 02:06:35.400734 +07 | beta                     1
2022-05-23 02:06:35.400802 +07 | best_actor_num           0
2022-05-23 02:06:35.400861 +07 | mean-okl/0             nan
2022-05-23 02:06:35.400921 +07 | mean-bkl/0             nan
2022-05-23 02:06:35.400979 +07 | mean-okl/1             nan
2022-05-23 02:06:35.401046 +07 | mean-bkl/1             nan
2022-05-23 02:06:35.401111 +07 | mean-okl/2             nan
2022-05-23 02:06:35.401169 +07 | mean-bkl/2             nan
2022-05-23 02:06:35.401227 +07 | mean-okl/3             nan
2022-05-23 02:06:35.401289 +07 | mean-bkl/3             nan
2022-05-23 02:06:35.401349 +07 | return-average/0       773.678
2022-05-23 02:06:35.401408 +07 | episode-length-avg/0  1000
2022-05-23 02:06:35.401465 +07 | return-average/1       966.087
2022-05-23 02:06:35.401521 +07 | episode-length-avg/1  1000
2022-05-23 02:06:35.401579 +07 | return-average/2       898.049
2022-05-23 02:06:35.401635 +07 | episode-length-avg/2  1000
2022-05-23 02:06:35.401694 +07 | return-average/3       823.217
2022-05-23 02:06:35.401750 +07 | episode-length-avg/3  1000
2022-05-23 02:06:35.401807 +07 | return-average         865.258
2022-05-23 02:06:35.401865 +07 | time-eval                0
2022-05-23 02:06:35.401922 +07 | time-total              22.9574
2022-05-23 02:06:35.401979 +07 | epoch                    0
2022-05-23 02:06:35.402037 +07 | avg-path-return/0        9.99828
2022-05-23 02:06:35.402095 +07 | total-samples/0       1000
2022-05-23 02:06:35.402152 +07 | avg-path-return/1      -47.0429
2022-05-23 02:06:35.402209 +07 | total-samples/1       1000
2022-05-23 02:06:35.402266 +07 | avg-path-return/2      -19.3217
2022-05-23 02:06:35.402324 +07 | total-samples/2       1000
2022-05-23 02:06:35.402380 +07 | avg-path-return/3       -9.24659
2022-05-23 02:06:35.402440 +07 | total-samples/3       1000
2022-05-23 02:06:35.402503 +07 | --------------------  ----------
2022-05-23 02:06:56.477116 +07 | --------------------  ---------
2022-05-23 02:06:56.477318 +07 | beta_t                   1
2022-05-23 02:06:56.477380 +07 | beta                     1
2022-05-23 02:06:56.477467 +07 | best_actor_num           0
2022-05-23 02:06:56.477545 +07 | mean-okl/0             nan
2022-05-23 02:06:56.477617 +07 | mean-bkl/0             nan
2022-05-23 02:06:56.477681 +07 | mean-okl/1             nan
2022-05-23 02:06:56.477731 +07 | mean-bkl/1             nan
2022-05-23 02:06:56.477780 +07 | mean-okl/2             nan
2022-05-23 02:06:56.477846 +07 | mean-bkl/2             nan
2022-05-23 02:06:56.477899 +07 | mean-okl/3             nan
2022-05-23 02:06:56.477941 +07 | mean-bkl/3             nan
2022-05-23 02:06:56.477991 +07 | return-average/0       704.27
2022-05-23 02:06:56.478066 +07 | episode-length-avg/0   945.1
2022-05-23 02:06:56.478120 +07 | return-average/1       966.895
2022-05-23 02:06:56.478170 +07 | episode-length-avg/1  1000
2022-05-23 02:06:56.478219 +07 | return-average/2       914.194
2022-05-23 02:06:56.478267 +07 | episode-length-avg/2  1000
2022-05-23 02:06:56.478316 +07 | return-average/3       804.98
2022-05-23 02:06:56.478364 +07 | episode-length-avg/3  1000
2022-05-23 02:06:56.478412 +07 | return-average         847.585
2022-05-23 02:06:56.478461 +07 | time-eval                0
2022-05-23 02:06:56.478509 +07 | time-total              44.0338
2022-05-23 02:06:56.478558 +07 | epoch                    4
2022-05-23 02:06:56.478606 +07 | avg-path-return/0      -94.0011
2022-05-23 02:06:56.478653 +07 | total-samples/0       2000
2022-05-23 02:06:56.478701 +07 | avg-path-return/1      -74.3691
2022-05-23 02:06:56.478748 +07 | total-samples/1       2000
2022-05-23 02:06:56.478796 +07 | avg-path-return/2      -61.1769
2022-05-23 02:06:56.478845 +07 | total-samples/2       2000
2022-05-23 02:06:56.478893 +07 | avg-path-return/3      -50.0594
2022-05-23 02:06:56.478941 +07 | total-samples/3       2000
2022-05-23 02:06:56.478989 +07 | --------------------  ---------
2022-05-23 11:10:21.593951 +07 | [ant/default-2022-05-23-11-10-14-708350-+07-01] observation space: Box(111,)
2022-05-23 11:10:21.594088 +07 | [ant/default-2022-05-23-11-10-14-708350-+07-01] action space: Box(8,)
2022-05-23 11:10:21.599950 +07 | [ant/default-2022-05-23-11-10-14-708350-+07-01] observation space: Box(111,)
2022-05-23 11:10:21.600051 +07 | [ant/default-2022-05-23-11-10-14-708350-+07-01] action space: Box(8,)
2022-05-23 11:10:21.604630 +07 | [ant/default-2022-05-23-11-10-14-708350-+07-01] observation space: Box(111,)
2022-05-23 11:10:21.604709 +07 | [ant/default-2022-05-23-11-10-14-708350-+07-01] action space: Box(8,)
2022-05-23 11:10:21.609498 +07 | [ant/default-2022-05-23-11-10-14-708350-+07-01] observation space: Box(111,)
2022-05-23 11:10:21.609577 +07 | [ant/default-2022-05-23-11-10-14-708350-+07-01] action space: Box(8,)
2022-05-25 16:18:14.405170 +07 | [ant/default-2022-05-25-16-18-08-386882-+07-01] observation space: Box(111,)
2022-05-25 16:18:14.407163 +07 | [ant/default-2022-05-25-16-18-08-386882-+07-01] action space: Box(8,)
2022-05-25 16:18:14.413878 +07 | [ant/default-2022-05-25-16-18-08-386882-+07-01] observation space: Box(111,)
2022-05-25 16:18:14.413975 +07 | [ant/default-2022-05-25-16-18-08-386882-+07-01] action space: Box(8,)
2022-05-25 16:18:14.419508 +07 | [ant/default-2022-05-25-16-18-08-386882-+07-01] observation space: Box(111,)
2022-05-25 16:18:14.419611 +07 | [ant/default-2022-05-25-16-18-08-386882-+07-01] action space: Box(8,)
2022-05-25 16:18:14.425790 +07 | [ant/default-2022-05-25-16-18-08-386882-+07-01] observation space: Box(111,)
2022-05-25 16:18:14.425893 +07 | [ant/default-2022-05-25-16-18-08-386882-+07-01] action space: Box(8,)
2022-05-25 16:19:56.323863 +07 | [ant/default-2022-05-25-16-19-50-700695-+07-01] observation space: Box(111,)
2022-05-25 16:19:56.324006 +07 | [ant/default-2022-05-25-16-19-50-700695-+07-01] action space: Box(8,)
2022-05-25 16:19:56.329695 +07 | [ant/default-2022-05-25-16-19-50-700695-+07-01] observation space: Box(111,)
2022-05-25 16:19:56.329839 +07 | [ant/default-2022-05-25-16-19-50-700695-+07-01] action space: Box(8,)
2022-05-25 16:19:56.334827 +07 | [ant/default-2022-05-25-16-19-50-700695-+07-01] observation space: Box(111,)
2022-05-25 16:19:56.334915 +07 | [ant/default-2022-05-25-16-19-50-700695-+07-01] action space: Box(8,)
2022-05-25 16:19:56.339461 +07 | [ant/default-2022-05-25-16-19-50-700695-+07-01] observation space: Box(111,)
2022-05-25 16:19:56.339543 +07 | [ant/default-2022-05-25-16-19-50-700695-+07-01] action space: Box(8,)
2022-05-25 16:25:22.845660 +07 | [ant/default-2022-05-25-16-25-17-119768-+07-01] observation space: Box(111,)
2022-05-25 16:25:22.845820 +07 | [ant/default-2022-05-25-16-25-17-119768-+07-01] action space: Box(8,)
2022-05-25 16:25:22.851177 +07 | [ant/default-2022-05-25-16-25-17-119768-+07-01] observation space: Box(111,)
2022-05-25 16:25:22.851273 +07 | [ant/default-2022-05-25-16-25-17-119768-+07-01] action space: Box(8,)
2022-05-25 16:25:22.855728 +07 | [ant/default-2022-05-25-16-25-17-119768-+07-01] observation space: Box(111,)
2022-05-25 16:25:22.855811 +07 | [ant/default-2022-05-25-16-25-17-119768-+07-01] action space: Box(8,)
2022-05-25 16:25:22.860541 +07 | [ant/default-2022-05-25-16-25-17-119768-+07-01] observation space: Box(111,)
2022-05-25 16:25:22.860646 +07 | [ant/default-2022-05-25-16-25-17-119768-+07-01] action space: Box(8,)
2022-05-25 16:26:05.678298 +07 | [ant/default-2022-05-25-16-25-59-941371-+07-01] observation space: Box(111,)
2022-05-25 16:26:05.678454 +07 | [ant/default-2022-05-25-16-25-59-941371-+07-01] action space: Box(8,)
2022-05-25 16:26:05.684011 +07 | [ant/default-2022-05-25-16-25-59-941371-+07-01] observation space: Box(111,)
2022-05-25 16:26:05.684126 +07 | [ant/default-2022-05-25-16-25-59-941371-+07-01] action space: Box(8,)
2022-05-25 16:26:05.688459 +07 | [ant/default-2022-05-25-16-25-59-941371-+07-01] observation space: Box(111,)
2022-05-25 16:26:05.688547 +07 | [ant/default-2022-05-25-16-25-59-941371-+07-01] action space: Box(8,)
2022-05-25 16:26:05.693798 +07 | [ant/default-2022-05-25-16-25-59-941371-+07-01] observation space: Box(111,)
2022-05-25 16:26:05.693930 +07 | [ant/default-2022-05-25-16-25-59-941371-+07-01] action space: Box(8,)
2022-05-25 16:26:40.604432 +07 | [ant/default-2022-05-25-16-26-35-079792-+07-01] observation space: Box(111,)
2022-05-25 16:26:40.604592 +07 | [ant/default-2022-05-25-16-26-35-079792-+07-01] action space: Box(8,)
2022-05-25 16:26:40.609878 +07 | [ant/default-2022-05-25-16-26-35-079792-+07-01] observation space: Box(111,)
2022-05-25 16:26:40.610028 +07 | [ant/default-2022-05-25-16-26-35-079792-+07-01] action space: Box(8,)
2022-05-25 16:26:40.614502 +07 | [ant/default-2022-05-25-16-26-35-079792-+07-01] observation space: Box(111,)
2022-05-25 16:26:40.614596 +07 | [ant/default-2022-05-25-16-26-35-079792-+07-01] action space: Box(8,)
2022-05-25 16:26:40.619042 +07 | [ant/default-2022-05-25-16-26-35-079792-+07-01] observation space: Box(111,)
2022-05-25 16:26:40.619139 +07 | [ant/default-2022-05-25-16-26-35-079792-+07-01] action space: Box(8,)
2022-05-25 16:27:26.493104 +07 | [ant/default-2022-05-25-16-27-20-851914-+07-01] observation space: Box(111,)
2022-05-25 16:27:26.493253 +07 | [ant/default-2022-05-25-16-27-20-851914-+07-01] action space: Box(8,)
2022-05-25 16:27:26.499138 +07 | [ant/default-2022-05-25-16-27-20-851914-+07-01] observation space: Box(111,)
2022-05-25 16:27:26.499263 +07 | [ant/default-2022-05-25-16-27-20-851914-+07-01] action space: Box(8,)
2022-05-25 16:27:26.504588 +07 | [ant/default-2022-05-25-16-27-20-851914-+07-01] observation space: Box(111,)
2022-05-25 16:27:26.504680 +07 | [ant/default-2022-05-25-16-27-20-851914-+07-01] action space: Box(8,)
2022-05-25 16:27:26.509464 +07 | [ant/default-2022-05-25-16-27-20-851914-+07-01] observation space: Box(111,)
2022-05-25 16:27:26.509584 +07 | [ant/default-2022-05-25-16-27-20-851914-+07-01] action space: Box(8,)
2022-05-25 16:27:49.974488 +07 | [ant/default-2022-05-25-16-27-44-416376-+07-01] observation space: Box(111,)
2022-05-25 16:27:49.974638 +07 | [ant/default-2022-05-25-16-27-44-416376-+07-01] action space: Box(8,)
2022-05-25 16:27:49.980803 +07 | [ant/default-2022-05-25-16-27-44-416376-+07-01] observation space: Box(111,)
2022-05-25 16:27:49.980953 +07 | [ant/default-2022-05-25-16-27-44-416376-+07-01] action space: Box(8,)
2022-05-25 16:27:49.986104 +07 | [ant/default-2022-05-25-16-27-44-416376-+07-01] observation space: Box(111,)
2022-05-25 16:27:49.986201 +07 | [ant/default-2022-05-25-16-27-44-416376-+07-01] action space: Box(8,)
2022-05-25 16:27:49.991470 +07 | [ant/default-2022-05-25-16-27-44-416376-+07-01] observation space: Box(111,)
2022-05-25 16:27:49.991553 +07 | [ant/default-2022-05-25-16-27-44-416376-+07-01] action space: Box(8,)
2022-05-25 16:28:27.097739 +07 | [ant/default-2022-05-25-16-28-21-465060-+07-01] observation space: Box(111,)
2022-05-25 16:28:27.097918 +07 | [ant/default-2022-05-25-16-28-21-465060-+07-01] action space: Box(8,)
2022-05-25 16:28:27.104737 +07 | [ant/default-2022-05-25-16-28-21-465060-+07-01] observation space: Box(111,)
2022-05-25 16:28:27.104859 +07 | [ant/default-2022-05-25-16-28-21-465060-+07-01] action space: Box(8,)
2022-05-25 16:28:27.110352 +07 | [ant/default-2022-05-25-16-28-21-465060-+07-01] observation space: Box(111,)
2022-05-25 16:28:27.110454 +07 | [ant/default-2022-05-25-16-28-21-465060-+07-01] action space: Box(8,)
2022-05-25 16:28:27.115915 +07 | [ant/default-2022-05-25-16-28-21-465060-+07-01] observation space: Box(111,)
2022-05-25 16:28:27.116000 +07 | [ant/default-2022-05-25-16-28-21-465060-+07-01] action space: Box(8,)
2022-05-25 16:28:55.580479 +07 | [ant/default-2022-05-25-16-28-50-033261-+07-01] observation space: Box(111,)
2022-05-25 16:28:55.580650 +07 | [ant/default-2022-05-25-16-28-50-033261-+07-01] action space: Box(8,)
2022-05-25 16:28:55.587148 +07 | [ant/default-2022-05-25-16-28-50-033261-+07-01] observation space: Box(111,)
2022-05-25 16:28:55.587285 +07 | [ant/default-2022-05-25-16-28-50-033261-+07-01] action space: Box(8,)
2022-05-25 16:28:55.592429 +07 | [ant/default-2022-05-25-16-28-50-033261-+07-01] observation space: Box(111,)
2022-05-25 16:28:55.592526 +07 | [ant/default-2022-05-25-16-28-50-033261-+07-01] action space: Box(8,)
2022-05-25 16:28:55.598351 +07 | [ant/default-2022-05-25-16-28-50-033261-+07-01] observation space: Box(111,)
2022-05-25 16:28:55.598481 +07 | [ant/default-2022-05-25-16-28-50-033261-+07-01] action space: Box(8,)
2022-05-25 16:29:41.582373 +07 | [ant/default-2022-05-25-16-29-35-818319-+07-01] observation space: Box(111,)
2022-05-25 16:29:41.582520 +07 | [ant/default-2022-05-25-16-29-35-818319-+07-01] action space: Box(8,)
2022-05-25 16:29:41.587802 +07 | [ant/default-2022-05-25-16-29-35-818319-+07-01] observation space: Box(111,)
2022-05-25 16:29:41.587948 +07 | [ant/default-2022-05-25-16-29-35-818319-+07-01] action space: Box(8,)
2022-05-25 16:29:41.592331 +07 | [ant/default-2022-05-25-16-29-35-818319-+07-01] observation space: Box(111,)
2022-05-25 16:29:41.592423 +07 | [ant/default-2022-05-25-16-29-35-818319-+07-01] action space: Box(8,)
2022-05-25 16:29:41.596709 +07 | [ant/default-2022-05-25-16-29-35-818319-+07-01] observation space: Box(111,)
2022-05-25 16:29:41.596792 +07 | [ant/default-2022-05-25-16-29-35-818319-+07-01] action space: Box(8,)
2022-05-25 16:31:10.018762 +07 | [ant/default-2022-05-25-16-31-04-438396-+07-01] observation space: Box(111,)
2022-05-25 16:31:10.018921 +07 | [ant/default-2022-05-25-16-31-04-438396-+07-01] action space: Box(8,)
2022-05-25 16:31:10.024878 +07 | [ant/default-2022-05-25-16-31-04-438396-+07-01] observation space: Box(111,)
2022-05-25 16:31:10.025015 +07 | [ant/default-2022-05-25-16-31-04-438396-+07-01] action space: Box(8,)
2022-05-25 16:31:10.030021 +07 | [ant/default-2022-05-25-16-31-04-438396-+07-01] observation space: Box(111,)
2022-05-25 16:31:10.030122 +07 | [ant/default-2022-05-25-16-31-04-438396-+07-01] action space: Box(8,)
2022-05-25 16:31:10.035252 +07 | [ant/default-2022-05-25-16-31-04-438396-+07-01] observation space: Box(111,)
2022-05-25 16:31:10.035349 +07 | [ant/default-2022-05-25-16-31-04-438396-+07-01] action space: Box(8,)
2022-05-25 16:33:08.041970 +07 | [ant/default-2022-05-25-16-33-02-506513-+07-01] observation space: Box(111,)
2022-05-25 16:33:08.042149 +07 | [ant/default-2022-05-25-16-33-02-506513-+07-01] action space: Box(8,)
2022-05-25 16:33:08.049401 +07 | [ant/default-2022-05-25-16-33-02-506513-+07-01] observation space: Box(111,)
2022-05-25 16:33:08.049565 +07 | [ant/default-2022-05-25-16-33-02-506513-+07-01] action space: Box(8,)
2022-05-25 16:33:08.055760 +07 | [ant/default-2022-05-25-16-33-02-506513-+07-01] observation space: Box(111,)
2022-05-25 16:33:08.055905 +07 | [ant/default-2022-05-25-16-33-02-506513-+07-01] action space: Box(8,)
2022-05-25 16:33:08.062719 +07 | [ant/default-2022-05-25-16-33-02-506513-+07-01] observation space: Box(111,)
2022-05-25 16:33:08.062887 +07 | [ant/default-2022-05-25-16-33-02-506513-+07-01] action space: Box(8,)
2022-05-25 16:34:11.231209 +07 | [ant/default-2022-05-25-16-34-05-551365-+07-01] observation space: Box(111,)
2022-05-25 16:34:11.231396 +07 | [ant/default-2022-05-25-16-34-05-551365-+07-01] action space: Box(8,)
2022-05-25 16:34:11.236914 +07 | [ant/default-2022-05-25-16-34-05-551365-+07-01] observation space: Box(111,)
2022-05-25 16:34:11.237060 +07 | [ant/default-2022-05-25-16-34-05-551365-+07-01] action space: Box(8,)
2022-05-25 16:34:11.241772 +07 | [ant/default-2022-05-25-16-34-05-551365-+07-01] observation space: Box(111,)
2022-05-25 16:34:11.241887 +07 | [ant/default-2022-05-25-16-34-05-551365-+07-01] action space: Box(8,)
2022-05-25 16:34:11.246400 +07 | [ant/default-2022-05-25-16-34-05-551365-+07-01] observation space: Box(111,)
2022-05-25 16:34:11.246538 +07 | [ant/default-2022-05-25-16-34-05-551365-+07-01] action space: Box(8,)
2022-05-25 16:42:46.123012 +07 | [ant/default-2022-05-25-16-42-40-601610-+07-01] observation space: Box(111,)
2022-05-25 16:42:46.123165 +07 | [ant/default-2022-05-25-16-42-40-601610-+07-01] action space: Box(8,)
2022-05-25 16:42:46.128399 +07 | [ant/default-2022-05-25-16-42-40-601610-+07-01] observation space: Box(111,)
2022-05-25 16:42:46.128503 +07 | [ant/default-2022-05-25-16-42-40-601610-+07-01] action space: Box(8,)
2022-05-25 16:42:46.132987 +07 | [ant/default-2022-05-25-16-42-40-601610-+07-01] observation space: Box(111,)
2022-05-25 16:42:46.133097 +07 | [ant/default-2022-05-25-16-42-40-601610-+07-01] action space: Box(8,)
2022-05-25 16:42:46.137479 +07 | [ant/default-2022-05-25-16-42-40-601610-+07-01] observation space: Box(111,)
2022-05-25 16:42:46.137570 +07 | [ant/default-2022-05-25-16-42-40-601610-+07-01] action space: Box(8,)
2022-05-25 16:45:17.368822 +07 | [ant/default-2022-05-25-16-45-11-692697-+07-01] observation space: Box(111,)
2022-05-25 16:45:17.368978 +07 | [ant/default-2022-05-25-16-45-11-692697-+07-01] action space: Box(8,)
2022-05-25 16:45:17.374251 +07 | [ant/default-2022-05-25-16-45-11-692697-+07-01] observation space: Box(111,)
2022-05-25 16:45:17.374358 +07 | [ant/default-2022-05-25-16-45-11-692697-+07-01] action space: Box(8,)
2022-05-25 16:45:17.378794 +07 | [ant/default-2022-05-25-16-45-11-692697-+07-01] observation space: Box(111,)
2022-05-25 16:45:17.378875 +07 | [ant/default-2022-05-25-16-45-11-692697-+07-01] action space: Box(8,)
2022-05-25 16:45:17.383432 +07 | [ant/default-2022-05-25-16-45-11-692697-+07-01] observation space: Box(111,)
2022-05-25 16:45:17.383546 +07 | [ant/default-2022-05-25-16-45-11-692697-+07-01] action space: Box(8,)
2022-05-25 17:16:22.889354 +07 | [ant/default-2022-05-25-17-16-16-725432-+07-01] observation space: Box(111,)
2022-05-25 17:16:22.889512 +07 | [ant/default-2022-05-25-17-16-16-725432-+07-01] action space: Box(8,)
2022-05-25 17:16:22.896483 +07 | [ant/default-2022-05-25-17-16-16-725432-+07-01] observation space: Box(111,)
2022-05-25 17:16:22.896605 +07 | [ant/default-2022-05-25-17-16-16-725432-+07-01] action space: Box(8,)
2022-05-25 17:16:22.902569 +07 | [ant/default-2022-05-25-17-16-16-725432-+07-01] observation space: Box(111,)
2022-05-25 17:16:22.902692 +07 | [ant/default-2022-05-25-17-16-16-725432-+07-01] action space: Box(8,)
2022-05-25 17:16:22.908896 +07 | [ant/default-2022-05-25-17-16-16-725432-+07-01] observation space: Box(111,)
2022-05-25 17:16:22.909014 +07 | [ant/default-2022-05-25-17-16-16-725432-+07-01] action space: Box(8,)
2022-05-25 17:17:22.972097 +07 | [ant/default-2022-05-25-17-17-14-184933-+07-01] observation space: Box(111,)
2022-05-25 17:17:22.972251 +07 | [ant/default-2022-05-25-17-17-14-184933-+07-01] action space: Box(8,)
2022-05-25 17:17:22.977458 +07 | [ant/default-2022-05-25-17-17-14-184933-+07-01] observation space: Box(111,)
2022-05-25 17:17:22.977565 +07 | [ant/default-2022-05-25-17-17-14-184933-+07-01] action space: Box(8,)
2022-05-25 17:17:22.982425 +07 | [ant/default-2022-05-25-17-17-14-184933-+07-01] observation space: Box(111,)
2022-05-25 17:17:22.982529 +07 | [ant/default-2022-05-25-17-17-14-184933-+07-01] action space: Box(8,)
2022-05-25 17:17:22.987891 +07 | [ant/default-2022-05-25-17-17-14-184933-+07-01] observation space: Box(111,)
2022-05-25 17:17:22.987978 +07 | [ant/default-2022-05-25-17-17-14-184933-+07-01] action space: Box(8,)
2022-05-25 17:19:28.824089 +07 | [ant/default-2022-05-25-17-19-20-299052-+07-01] observation space: Box(111,)
2022-05-25 17:19:28.824267 +07 | [ant/default-2022-05-25-17-19-20-299052-+07-01] action space: Box(8,)
2022-05-25 17:19:28.829695 +07 | [ant/default-2022-05-25-17-19-20-299052-+07-01] observation space: Box(111,)
2022-05-25 17:19:28.829801 +07 | [ant/default-2022-05-25-17-19-20-299052-+07-01] action space: Box(8,)
2022-05-25 17:19:28.834480 +07 | [ant/default-2022-05-25-17-19-20-299052-+07-01] observation space: Box(111,)
2022-05-25 17:19:28.834595 +07 | [ant/default-2022-05-25-17-19-20-299052-+07-01] action space: Box(8,)
2022-05-25 17:19:28.839306 +07 | [ant/default-2022-05-25-17-19-20-299052-+07-01] observation space: Box(111,)
